223, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
224, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
225, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
226, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
227, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
228, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
229, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
230, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
231, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
232, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
233, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
234, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
235, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
236, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
237, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
238, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
239, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
240, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
241, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
242, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
243, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
244, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
245, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
246, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
247, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
248, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
249, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
250, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
251, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
252, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
253, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
254, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
255, TP = 462, TN = 0, FP =  15922, FN =  0, spe = 1.000000, sen =  1.000000
